iter	Passed	Remaining
0	177	177510
1	179	89584
2	181	60223
3	183	45596
4	184	36776
5	187	31015
6	189	26823
7	191	23692
8	192	21234
9	199	19718
10	201	18116
11	203	16751
12	205	15608
13	207	14612
14	209	13770
15	212	13041
16	214	12394
17	216	11823
18	218	11299
19	221	10836
20	223	10397
21	225	10003
22	228	9690
23	231	9410
24	233	9096
25	235	8826
26	236	8539
27	238	8280
28	241	8080
29	242	7856
30	244	7650
31	246	7460
32	248	7276
33	250	7109
34	252	6954
35	254	6805
36	256	6673
37	258	6535
38	259	6393
39	261	6266
40	263	6154
41	265	6056
42	267	5954
43	269	5851
44	270	5747
45	273	5666
46	275	5579
47	277	5493
48	278	5405
49	279	5317
50	283	5272
51	285	5196
52	288	5161
53	290	5094
54	292	5027
55	294	4967
56	296	4909
57	298	4849
58	300	4797
59	302	4732
60	303	4670
61	305	4620
62	307	4571
63	309	4533
64	312	4495
65	315	4460
66	317	4416
67	319	4383
68	321	4341
69	323	4295
70	325	4255
71	327	4221
72	329	4182
73	331	4145
74	332	4102
75	335	4077
76	337	4051
77	339	4017
78	341	3983
79	343	3945
80	344	3907
81	347	3891
82	348	3849
83	350	3825
84	352	3795
85	354	3765
86	355	3733
87	358	3720
88	360	3693
89	362	3667
90	364	3643
91	366	3617
92	368	3594
93	370	3574
94	372	3549
95	374	3528
96	376	3502
97	377	3478
98	382	3480
99	384	3457
100	386	3437
101	388	3421
102	390	3397
103	394	3402
104	397	3384
105	399	3366
106	401	3351
107	403	3329
108	405	3315
109	407	3297
110	409	3282
111	411	3262
112	414	3251
113	416	3240
114	419	3227
115	421	3209
116	423	3196
117	425	3176
118	426	3157
119	430	3155
120	431	3137
121	433	3120
122	435	3105
123	437	3090
124	438	3070
125	441	3062
126	442	3044
127	444	3029
128	446	3015
129	448	2999
130	450	2987
131	452	2973
132	454	2965
133	457	2953
134	458	2940
135	460	2924
136	464	2928
137	467	2917
138	469	2905
139	471	2895
140	473	2882
141	475	2871
142	478	2865
143	480	2857
144	482	2843
145	484	2831
146	486	2821
147	488	2809
148	490	2803
149	493	2795
150	495	2786
151	500	2793
152	506	2806
153	510	2807
154	512	2795
155	516	2792
156	519	2789
157	522	2783
158	524	2772
159	529	2778
160	530	2765
161	532	2753
162	533	2741
163	535	2730
164	537	2721
165	540	2713
166	543	2709
167	544	2697
168	546	2686
169	547	2675
170	551	2672
171	553	2662
172	554	2651
173	556	2640
174	558	2635
175	561	2626
176	563	2619
177	565	2612
178	567	2603
179	569	2594
180	571	2583
181	573	2577
182	575	2570
183	578	2563
184	579	2554
185	581	2546
186	583	2535
187	588	2541
188	590	2532
189	591	2523
190	593	2513
191	595	2507
