iter	Passed	Remaining
0	1	1563
1	2	1423
2	4	1419
3	5	1379
4	6	1359
5	8	1340
6	9	1336
7	11	1400
8	12	1427
9	14	1423
10	16	1473
11	18	1499
12	19	1500
13	22	1561
14	23	1570
15	27	1715
16	29	1719
17	31	1717
18	32	1694
19	34	1670
20	35	1653
21	36	1636
22	38	1620
23	41	1682
24	42	1672
25	44	1658
26	45	1642
27	46	1627
28	48	1614
29	49	1601
30	50	1589
31	52	1576
32	53	1564
33	54	1561
34	58	1607
35	59	1594
36	60	1582
37	61	1569
38	63	1556
39	64	1544
40	65	1533
41	66	1522
42	67	1512
43	69	1504
44	70	1505
45	72	1500
46	73	1495
47	75	1493
48	76	1489
49	78	1484
50	79	1475
51	80	1466
52	81	1458
53	82	1450
54	84	1444
55	85	1444
56	87	1440
57	88	1433
58	89	1426
59	90	1419
60	91	1412
61	93	1409
62	94	1403
63	95	1397
64	96	1391
65	98	1389
66	99	1384
67	101	1390
68	102	1385
69	103	1379
70	105	1374
71	106	1368
72	107	1363
73	108	1357
74	109	1352
75	110	1348
76	112	1345
77	113	1343
78	115	1347
79	117	1349
80	118	1344
81	119	1340
82	120	1330
83	121	1326
84	122	1322
85	124	1317
86	125	1313
87	126	1311
88	127	1309
89	129	1312
90	131	1313
91	132	1310
92	133	1306
93	135	1302
94	136	1298
95	137	1294
96	138	1290
97	139	1286
98	141	1284
99	142	1282
100	143	1279
101	145	1283
102	147	1285
103	148	1282
104	150	1280
105	151	1277
106	152	1275
107	154	1273
108	155	1273
109	157	1271
110	158	1269
111	159	1268
112	162	1271
113	163	1271
114	165	1271
115	166	1270
116	167	1267
117	169	1265
118	170	1264
119	172	1261
120	173	1258
121	174	1254
122	176	1255
123	177	1254
124	178	1251
125	179	1248
126	180	1243
127	182	1240
128	183	1239
129	184	1236
130	185	1233
131	187	1230
132	188	1227
133	189	1224
134	191	1224
135	192	1223
136	193	1220
137	195	1218
138	196	1215
139	197	1212
140	198	1211
141	199	1206
142	200	1203
143	202	1202
144	203	1199
145	204	1196
146	206	1199
147	208	1198
148	209	1197
149	210	1195
150	212	1192
151	213	1190
152	214	1187
153	215	1184
154	216	1181
155	218	1179
156	219	1177
157	221	1180
158	222	1179
159	224	1177
160	225	1173
161	226	1173
162	228	1172
163	229	1170
164	230	1168
165	232	1166
166	233	1163
167	234	1161
168	237	1166
169	238	1166
170	240	1164
171	241	1163
172	243	1162
173	244	1160
174	245	1157
175	246	1155
176	248	1153
177	249	1151
178	251	1154
179	253	1154
180	254	1152
181	256	1152
182	257	1151
183	259	1149
184	260	1147
185	261	1144
186	262	1142
187	264	1141
188	266	1143
189	268	1142
190	269	1140
191	270	1139
192	272	1138
193	273	1136
194	274	1134
195	276	1132
196	277	1130
197	278	1128
198	279	1126
199	281	1126
200	283	1125
201	284	1123
202	285	1122
203	287	1120
204	288	1118
205	289	1116
206	290	1113
207	291	1111
208	293	1109
209	294	1107
210	296	1107
211	297	1107
212	299	1105
213	301	1106
214	302	1104
215	303	1102
216	304	1100
217	305	1097
218	307	1095
219	308	1093
220	309	1092
221	311	1093
222	313	1091
223	314	1089
224	315	1088
225	317	1086
226	318	1084
227	319	1081
228	320	1079
229	321	1077
230	323	1075
231	324	1074
232	326	1074
233	328	1074
234	329	1073
235	331	1071
236	332	1069
237	333	1067
238	334	1064
239	335	1063
240	337	1061
241	338	1059
242	339	1057
243	341	1058
244	343	1060
245	345	1059
246	346	1057
247	348	1056
248	349	1054
249	350	1052
250	352	1050
251	353	1048
252	354	1046
253	357	1051
254	360	1052
255	361	1051
256	363	1050
257	364	1048
258	365	1046
259	367	1044
260	368	1042
261	369	1040
262	371	1040
263	373	1041
264	374	1039
265	376	1038
266	377	1036
267	378	1034
268	380	1033
269	381	1031
270	382	1029
271	384	1027
272	386	1028
273	388	1029
274	389	1027
275	390	1025
276	392	1023
277	393	1021
278	394	1020
279	395	1018
280	397	1016
281	398	1014
282	399	1012
283	402	1013
284	403	1012
285	404	1011
286	406	1009
287	407	1007
288	409	1006
289	410	1004
290	411	1002
291	412	1000
292	413	998
293	415	998
294	418	999
295	419	998
296	421	997
297	422	995
298	423	993
299	425	991
300	426	989
301	427	987
302	428	985
303	430	984
304	432	985
305	434	985
306	435	983
307	437	982
308	438	981
309	440	979
310	441	977
311	442	975
312	443	973
313	445	973
314	447	972
315	448	971
316	449	969
317	451	967
318	452	966
319	454	965
320	455	963
321	456	961
322	457	959
323	459	957
324	460	956
325	462	956
326	463	954
327	465	952
328	466	952
329	468	950
330	469	948
331	470	946
332	472	945
333	473	943
334	474	942
335	476	942
336	478	940
337	479	938
338	480	937
339	482	935
340	483	933
341	484	931
342	485	930
343	487	929
344	488	927
345	490	927
346	492	926
347	493	925
348	495	923
349	496	922
350	497	920
351	499	918
352	500	916
353	501	915
354	502	913
355	503	911
356	505	910
357	507	910
358	509	909
359	510	907
360	511	905
361	512	903
362	514	902
363	515	900
364	516	899
365	517	897
366	519	895
367	521	895
368	523	894
369	524	893
370	526	892
371	527	890
372	529	889
373	530	888
374	532	886
375	533	885
376	534	883
377	536	882
378	538	881
379	539	880
380	540	878
381	541	876
382	543	875
383	544	874
384	546	872
385	547	870
386	548	868
387	549	867
388	552	867
389	553	866
390	555	864
391	556	863
392	557	861
393	559	860
394	560	858
395	561	856
396	562	854
397	563	853
398	566	852
399	567	851
400	569	850
401	570	848
402	571	846
403	572	845
404	574	843
405	575	841
406	576	840
407	577	838
408	578	836
409	581	836
410	583	835
411	584	834
412	586	832
413	587	831
414	588	830
415	589	828
416	591	826
417	592	824
418	593	823
419	595	822
420	597	822
421	599	820
422	600	819
423	602	817
424	603	816
425	604	814
426	605	812
427	606	811
428	608	809
429	609	808
430	612	808
431	613	807
432	616	806
433	618	806
434	619	805
435	621	803
436	622	802
437	625	802
438	627	802
439	628	800
440	630	798
441	631	797
442	632	795
443	634	793
444	635	792
445	636	790
446	637	788
447	638	787
448	640	786
449	642	785
450	643	783
451	644	781
452	645	779
453	647	778
454	648	776
455	649	774
456	650	773
457	652	771
458	653	769
459	654	768
460	656	767
461	657	765
462	658	764
463	660	762
464	661	760
465	662	759
466	663	757
467	664	755
468	665	753
469	666	752
470	668	750
471	669	749
472	671	748
473	672	746
474	673	744
475	675	743
476	676	741
477	677	739
478	678	738
479	679	736
480	681	734
481	682	733
482	683	731
483	684	729
484	686	728
485	687	727
486	688	725
487	690	723
488	691	722
489	692	720
490	693	718
491	694	717
492	695	715
493	697	714
494	698	712
495	699	710
496	701	710
497	702	708
498	704	706
499	705	705
500	706	703
501	707	702
502	709	700
503	710	698
504	711	697
505	712	695
506	713	694
507	717	694
508	719	693
509	720	692
510	722	691
511	724	690
512	725	688
513	726	686
514	727	685
515	729	683
516	730	682
517	732	681
518	733	679
519	734	678
520	735	676
521	737	674
522	738	673
523	739	671
524	740	670
525	742	668
526	743	667
527	744	665
528	746	664
529	747	663
530	748	661
531	750	659
532	751	658
533	752	656
534	753	655
535	754	653
536	756	651
537	757	650
538	758	648
539	759	647
540	761	646
541	762	644
542	764	643
543	765	641
544	766	639
545	767	638
546	768	636
547	770	635
548	771	633
549	772	631
550	773	630
551	774	628
552	777	628
553	778	626
554	780	625
555	781	623
556	782	622
557	783	620
558	785	619
559	786	617
560	787	616
561	788	614
562	790	613
563	792	612
564	793	610
565	794	609
566	796	608
567	797	606
568	798	604
569	799	603
570	801	601
571	802	600
572	803	598
573	804	597
574	807	596
575	808	594
576	809	593
577	810	591
578	811	590
579	813	588
580	814	587
581	815	585
582	816	584
583	817	582
584	819	581
585	820	579
586	822	578
587	823	577
588	824	575
589	826	574
590	827	572
591	828	571
592	830	569
593	831	568
594	832	566
595	833	565
596	835	563
597	837	562
598	838	561
599	839	559
600	840	558
601	841	556
602	843	555
603	844	553
604	845	552
605	847	550
606	848	549
607	849	547
608	851	546
609	853	545
610	854	543
611	855	542
612	856	540
613	858	539
614	859	538
615	860	536
616	862	535
617	863	533
618	864	532
619	865	530
620	867	529
621	868	528
622	870	526
623	871	525
624	872	523
625	873	522
626	874	520
627	876	518
628	877	517
629	878	515
630	879	514
631	881	513
632	882	511
633	884	510
634	885	508
635	886	507
636	887	505
637	888	504
638	890	502
639	891	501
640	892	499
641	893	498
642	894	496
643	896	495
644	898	494
645	899	492
646	900	491
647	901	489
648	902	488
649	904	486
650	905	485
651	906	483
652	907	482
653	909	480
654	910	479
655	911	478
656	913	476
657	914	475
658	916	474
659	917	472
660	918	471
661	920	469
662	921	468
663	923	467
664	925	466
665	928	465
666	929	463
667	930	462
668	931	461
669	933	459
670	934	458
671	935	456
672	936	455
673	937	453
674	939	452
675	940	450
676	942	449
677	943	448
678	944	446
679	946	445
680	947	443
681	948	442
682	949	440
683	950	439
684	952	437
685	953	436
686	954	434
687	955	433
688	957	432
689	958	430
690	959	429
691	961	427
692	962	426
693	963	424
694	964	423
695	965	421
696	967	420
697	968	418
698	969	417
699	970	416
700	972	414
701	973	413
702	974	411
703	976	410
704	977	409
705	978	407
706	979	406
707	981	404
708	982	403
709	983	401
710	984	400
711	986	398
712	987	397
713	988	396
714	990	394
715	991	393
716	992	391
717	993	390
718	994	388
719	996	387
720	997	385
721	998	384
722	999	383
723	1001	381
724	1003	380
725	1004	379
726	1006	377
727	1007	376
728	1008	374
729	1009	373
730	1011	372
731	1012	370
732	1015	369
733	1017	368
734	1019	367
735	1020	366
736	1021	364
737	1023	363
738	1024	361
739	1025	360
740	1026	358
741	1027	357
742	1028	355
743	1030	354
744	1032	353
745	1033	351
746	1034	350
747	1035	348
748	1036	347
749	1038	346
750	1039	344
751	1040	343
752	1041	341
753	1042	340
754	1044	338
755	1045	337
756	1047	336
757	1048	334
758	1049	333
759	1051	331
760	1052	330
761	1053	329
762	1054	327
763	1056	326
764	1057	324
765	1058	323
766	1059	321
767	1061	320
768	1062	319
769	1063	317
770	1065	316
771	1066	314
772	1067	313
773	1068	312
774	1070	310
775	1071	309
776	1072	307
777	1073	306
778	1074	304
779	1076	303
780	1077	302
781	1079	300
782	1080	299
783	1081	297
784	1082	296
785	1083	295
786	1085	293
787	1087	292
788	1089	291
789	1091	290
790	1093	288
791	1094	287
792	1096	286
793	1097	284
794	1098	283
795	1100	281
796	1101	280
797	1102	279
798	1104	277
799	1105	276
800	1107	275
801	1109	273
802	1110	272
803	1112	271
804	1113	269
805	1115	268
806	1116	266
807	1117	265
808	1118	264
809	1120	262
810	1122	261
811	1123	260
812	1124	258
813	1125	257
814	1126	255
815	1128	254
816	1129	252
817	1130	251
818	1131	250
819	1132	248
820	1134	247
821	1135	245
822	1137	244
823	1138	243
824	1139	241
825	1141	240
826	1142	238
827	1143	237
828	1144	236
829	1146	234
830	1147	233
831	1148	231
832	1149	230
833	1151	229
834	1152	227
835	1154	226
836	1155	224
837	1156	223
838	1157	222
839	1159	220
840	1160	219
841	1161	217
842	1162	216
843	1163	215
844	1165	213
845	1166	212
846	1168	211
847	1169	209
848	1170	208
849	1171	206
850	1173	205
851	1174	204
852	1175	202
853	1176	201
854	1178	199
855	1179	198
856	1180	196
857	1182	195
858	1183	194
859	1184	192
860	1186	191
861	1187	190
862	1188	188
863	1189	187
864	1190	185
865	1192	184
866	1193	183
867	1194	181
868	1195	180
869	1197	178
870	1199	177
871	1200	176
872	1202	174
873	1203	173
874	1204	172
875	1205	170
876	1207	169
877	1208	167
878	1209	166
879	1210	165
880	1213	163
881	1214	162
882	1215	161
883	1216	159
884	1217	158
885	1219	156
886	1220	155
887	1221	154
888	1222	152
889	1224	151
890	1225	149
891	1226	148
892	1228	147
893	1229	145
894	1231	144
895	1232	143
896	1233	141
897	1234	140
898	1235	138
899	1236	137
900	1238	136
901	1239	134
902	1240	133
903	1242	131
904	1243	130
905	1244	129
906	1246	127
907	1247	126
908	1248	125
909	1250	123
910	1251	122
911	1252	120
912	1253	119
913	1254	118
914	1255	116
915	1257	115
916	1259	113
917	1260	112
918	1261	111
919	1262	109
920	1263	108
921	1265	107
922	1266	105
923	1267	104
924	1268	102
925	1269	101
926	1271	100
927	1273	98
928	1274	97
929	1275	96
930	1276	94
931	1278	93
932	1279	91
933	1280	90
934	1281	89
935	1283	87
936	1284	86
937	1285	84
938	1287	83
939	1288	82
940	1290	80
941	1291	79
942	1292	78
943	1294	76
944	1295	75
945	1296	74
946	1297	72
947	1298	71
948	1300	69
949	1301	68
950	1303	67
951	1304	65
952	1305	64
953	1306	63
954	1308	61
955	1309	60
956	1310	58
957	1311	57
958	1312	56
959	1313	54
960	1315	53
961	1316	52
962	1318	50
963	1319	49
964	1320	47
965	1321	46
966	1323	45
967	1324	43
968	1325	42
969	1326	41
970	1327	39
971	1328	38
972	1330	36
973	1331	35
974	1333	34
975	1334	32
976	1335	31
977	1336	30
978	1338	28
979	1339	27
980	1340	25
981	1341	24
982	1342	23
983	1344	21
984	1345	20
985	1347	19
986	1348	17
987	1349	16
988	1351	15
989	1352	13
990	1353	12
991	1354	10
992	1355	9
993	1357	8
994	1358	6
995	1359	5
996	1360	4
997	1362	2
998	1363	1
999	1365	0
